ID,Record Number,Reading Date,Last_RD,Main,Last_Main,1,Last_1,2,Last_2,3,Last_3,4,Last_4,5,Last_5,Created,Updated
258,24,2026-01-29,2026-01-01,,,65805,65687,,59304,,38770,,69388,,29045,2026-01-29T13:01:45.905Z,2026-01-29T13:03:20.454Z
257,23,2026-01-01,2025-10-31,,,65687,65298,59304,58865,38770,38483,69388,69077,29045,28688,2026-01-01T05:42:46.503Z,2026-01-01T05:42:46.503Z
256,22,2025-10-31,2025-09-01,,,65298,64758,58934,58139,38483,38213,69100,68514,28688,28618,2025-10-31T09:43:13.227Z,2026-01-01T09:06:43.014Z
255,21,2025-10-17,2025-09-01,,,,64758,58789,58139,,38213,,68514,,28618,2025-10-17T06:59:19.792Z,2025-10-17T06:59:19.792Z
254,20,2025-09-01,2025-07-01,,,64758,64294,58139,56990,38213,37423,68514,67654,28618,28523,2025-09-01T07:28:55.689Z,2025-09-01T07:28:55.689Z
253,19,2025-07-01,2025-05-02,,,64294,63944,56990,56353,37423,37157,67654,66958,28523,28325,2025-07-01T15:55:06.716Z,2025-07-01T16:02:59.539Z
220,18,2025-05-02,2025-03-02,,,63944,63699,56353,55825,37157,36896,66958,66624,28325,28023,2025-05-02T13:07:21.591Z,2025-05-02T13:07:21.591Z
219,17,2025-03-02,2025-01-02,,,63699,63483,55825,55013,36896,36447,66624,66096,28023,27527,2025-03-02T05:29:16.361Z,2025-03-02T05:29:16.361Z
218,16,2025-01-02,2024-10-31,,,63483,63174,55013,54286,36447,36020,66096,65727,27527,27212,2025-01-02T04:53:53.423Z,2025-01-02T04:53:53.423Z
217,15,2024-10-31,2024-09-01,,,63174,62022,54286,53273,36020,35647,65727,65208,27212,27041,2024-10-31T15:09:36.026Z,2024-10-31T15:09:36.026Z
216,14,2024-09-01,2024-07-01,,,62022,60480,53273,51902,35647,34897,65208,64512,27041,26861,2024-09-01T15:08:50.647Z,2024-09-01T15:08:50.647Z
181,13,2024-07-01,2024-05-03,,,60480,60075,51902,51133,34897,34581,64512,63969,26861,26630,2024-07-01T15:34:52.697Z,2024-07-01T15:34:52.697Z
149,12,2024-05-03,2024-03-03,,,60075,59369,51133,50850,34581,34353,63969,63391,26630,26370,2024-05-03T06:57:19.374Z,2024-05-03T06:57:19.374Z
115,11,2024-03-03,2024-01-02,,,59369,58546,50850,50340,34353,33864,63391,62120,26370,25822,2024-03-03T05:55:56.837Z,2024-05-02T12:15:49.205Z
49,10,2024-01-02,2023-11-01,,6335,58546,57600,50336,49083,33864,33579,62120,61479,25822,25417,2024-01-02T15:23:22.966Z,2024-02-11T17:16:39.364Z
16,9,2023-11-01,2023-09-01,6335,3702,57600,55756,49083,47966,33579,33051,61479,60588,25417,25164,2023-11-01T13:51:04.213Z,2023-11-01T13:51:04.213Z
15,8,2023-09-01,2023-07-02,3702,,55756,53787,47966,46708,33051,32258,60588,59064,25164,24628,2023-09-01T10:32:54.817Z,2023-09-01T10:32:54.817Z
13,7,2023-07-02,2023-05-04,,22437,53787,52577,46708,45884,32258,32106,59064,58795,24628,24233,2023-07-02T15:22:31.631Z,2023-07-02T15:23:08.644Z
9,6,2023-05-04,2023-03-02,22437,22155,52577,51891,45884,45101,32106,31929,58795,58353,24233,23621,2023-05-04T17:13:58.673Z,2023-05-04T17:13:58.673Z
8,5,2023-03-02,2023-01-02,22155,21736,51891,51011,45101,44083,31929,31527,58353,57367,23621,22750,2023-03-03T13:13:26.689Z,2023-03-03T13:14:49.585Z
6,4,2023-01-02,2022-11-02,21736,214705,51011,50455,44083,43304,31527,31322,57367,56898,22750,22133,2023-01-02T08:42:58.099Z,2023-01-02T08:42:58.099Z
4,3,2022-11-02,2022-10-05,214705,213065,50455,49686,43304,42935,31322,31239,56898,56628,22133,21994,2022-11-02T08:36:08.971Z,2022-11-02T08:36:08.971Z
3,2,2022-10-05,2022-09-23,213065,,49686,49149,42935,42717,31239,31162,56628,56323,21994,21928,2022-10-05T10:20:17.624Z,2022-10-05T10:20:17.624Z
1,1,2022-09-23,,,,49149,,42717,,31162,29933,56323,53949,21928,,2022-10-02T08:05:03.023Z,2022-10-02T08:05:03.023Z
