ID,Record Number,Reading Date,Last_RD,Main,Last_Main,1,Last_1,2,Last_2,3,Last_3,4,Last_4,5,Last_5,Created,Updated
259,24,29/01/2026,01/01/2026,,2350,1414,1412,,826,,1442,,1061,,942,2026-01-29T13:01:23.090Z,2026-01-29T13:01:23.090Z
258,23,01/01/2026,31/10/2025,2350,,1412,1406,826,820,1442,1435,1061,1050,942,931,2026-01-01T05:40:01.771Z,2026-01-01T05:40:01.771Z
257,22,31/10/2025,01/09/2025,,,1406,1400,820,819,1435,1425,1050,1045,931,920,2025-10-31T09:48:40.127Z,2025-10-31T09:48:40.127Z
256,21,17/10/2025,01/09/2025,,,,1400,,819,1434,1425,,1045,,920,2025-10-17T06:57:48.934Z,2025-10-17T06:57:48.934Z
255,20,01/09/2025,01/07/2025,,2237,1400,1397,819,815,1425,1415,1045,1038,920,904,2025-09-01T07:30:33.658Z,2025-09-01T07:30:33.658Z
254,19,01/07/2025,02/05/2025,2237,2189,1397,1390,815,811,1415,1402,1038,1030,904,892,2025-07-01T15:51:47.865Z,2025-07-01T15:51:47.865Z
221,18,02/05/2025,02/03/2025,2189,2136,1390,1380,811,801,1402,1389,1030,1023,892,879,2025-05-02T13:05:01.206Z,2025-05-02T13:05:01.206Z
220,17,02/03/2025,02/01/2025,2136,2086,1380,1370,801,792,1389,1375,1023,1016,879,869,2025-03-02T05:26:59.740Z,2025-03-02T05:26:59.740Z
219,16,02/01/2025,31/10/2024,2086,2020,1370,1354,792,784,1375,1359,1016,1008,869,857,2025-01-02T04:51:09.890Z,2025-01-02T04:51:09.890Z
218,15,31/10/2024,01/09/2024,2020,1961,1354,1338,784,779,1359,1340,1008,1001,857,844,2024-10-31T15:06:49.964Z,2024-10-31T15:06:49.964Z
217,14,01/09/2024,01/07/2024,1961,,1338,1322,779,777,1340,1324,1001,996,844,829,2024-09-01T15:10:06.813Z,2024-09-01T15:10:06.813Z
183,13,01/07/2024,03/05/2024,,,1322,1307,777,771,1324,1309,996,989,829,815,2024-07-01T15:46:31.314Z,2024-07-01T15:46:31.314Z
151,12,03/05/2024,03/03/2024,,1783,1307,1280,771,765,1309,1300,989,977,815,803,2024-05-03T06:59:25.129Z,2024-05-03T06:59:25.129Z
117,11,03/03/2024,02/01/2024,1783,1712,1280,1260,765,759,1300,1290,977,963,803,792,2024-03-03T05:42:51.263Z,2024-05-02T12:16:37.559Z
51,10,02/01/2024,01/11/2023,1712,1626,1260,1229,759,749,1291,1255,963,954,792,779,2024-01-02T15:21:23.136Z,2024-02-11T17:17:34.520Z
18,9,01/11/2023,01/09/2023,1626,1546,1229,1201,749,741,1255,1232,954,945,779,765,2023-11-01T13:48:33.820Z,2023-11-01T13:48:33.820Z
17,8,01/09/2023,02/07/2023,1546,1467,1201,1179,741,735,1232,1207,945,936,765,749,2023-09-01T10:29:32.441Z,2023-09-01T10:55:38.459Z
16,7,02/07/2023,04/05/2023,1467,1390,1179,1157,735,724,1207,1179,936,934,749,734,2023-07-02T15:12:37.794Z,2023-07-02T15:12:37.794Z
13,6,04/05/2023,02/03/2023,1390,1298,1157,1131,724,716,1179,1149,934,921,734,721,2023-05-04T17:07:35.487Z,2023-05-04T17:07:35.487Z
12,5,02/03/2023,02/01/2023,1298,1207,1131,1101,716,708,1149,1121,921,907,721,709,2023-03-03T13:11:08.660Z,2023-03-03T13:12:34.902Z
10,4,02/01/2023,02/11/2022,1207,,1101,1079,708,699,1121,1094,907,897,709,697,2023-01-02T07:48:55.520Z,2023-01-02T07:48:55.520Z
8,3,02/11/2022,05/10/2022,,1084,1079,1066,699,695,1094,1082,897,893,697,689,2022-11-02T08:37:12.047Z,2022-11-02T08:37:12.047Z
7,2,05/10/2022,23/09/2022,1084,,1066,1060,695,694,1082,1077,893,890,689,687,2022-10-05T10:13:20.502Z,2022-10-05T16:28:30.429Z
1,1,23/09/2022,,,,1060,,694,,1077,664,890,867,687,,2022-09-29T07:37:52.943Z,2022-10-02T13:34:30.215Z
